Unnamed: 0,INDU Index,SPX Index,AS30 Index,SPTSX Index,TPX Index,TRAN Index
1928-01-02,,,,221.86,,
1928-01-03,203.35,17.76,,,,140.61
1928-01-04,202.24,17.72,,,,140.39
1928-01-05,199.61,17.55,,,,140.08
1928-01-06,201.45,17.66,,,,141.02
1928-01-09,199.63,17.5,,,,139.48
1928-01-10,197.52,17.37,,,,138.48
1928-01-11,197.43,17.35,,,,138.8
1928-01-12,198.35,17.47,,,,138.75
1928-01-13,199.51,17.58,,,,139.65
1928-01-16,195.41,17.29,,,,137.58
1928-01-17,195.35,17.3,,,,137.96
1928-01-18,194.5,17.26,,,,136.98
1928-01-19,196.24,17.38,,,,137.4
1928-01-20,198.06,17.48,,,,138.17
1928-01-23,199.72,17.64,,,,138.99
1928-01-24,201.01,17.71,,,,139.06
1928-01-25,198.58,17.52,,,,137.9
1928-01-26,199.6,17.63,,,,138.68
1928-01-27,200.31,17.69,,,,138.05
1928-01-30,197.57,17.49,,,,137.12
1928-01-31,198.59,17.57,,,,137.18
1928-02-01,197.98,17.53,,216.96,,136.1
1928-02-02,199.2,17.63,,,,136.44
1928-02-03,196.3,17.4,,,,135.26
1928-02-06,196.63,17.45,,,,134.38
1928-02-07,196.85,17.44,,,,133.35
1928-02-08,197.86,17.49,,,,133.33
1928-02-09,199.35,17.55,,,,133.88
1928-02-10,199.02,17.54,,,,134.03
1928-02-14,197.93,17.44,,,,134.46
1928-02-15,197.59,17.4,,,,134.01
1928-02-16,196.3,17.35,,,,134.55
1928-02-17,192.48,17.04,,,,132.93
1928-02-20,191.33,16.95,,,,132.6
1928-02-21,192.81,17.11,,,,133.8
1928-02-23,193.09,17.13,,,,134.03
1928-02-24,193.15,17.18,,,,134.93
1928-02-27,192.12,17.11,,,,134.66
1928-02-28,193.94,17.16,,,,134.77
1928-02-29,194.78,17.26,,,,134.35
1928-03-01,194.81,17.3,,222.16,,134.19
1928-03-02,194.53,17.3,,,,134.66
1928-03-05,197.8,17.57,,,,135.26
1928-03-06,199.51,17.67,,,,135.37
1928-03-07,197.48,17.58,,,,135.3
1928-03-08,198.26,17.64,,,,135.27
1928-03-09,201.32,17.93,,,,135.75
1928-03-12,203.33,18.0,,,,136.56
1928-03-13,202.31,17.92,,,,136.69
1928-03-14,201.04,17.93,,,,137.34
1928-03-15,202.91,18.07,,,,138.23
1928-03-16,204.7,18.26,,,,139.95
1928-03-19,203.66,18.36,,,,140.3
1928-03-20,205.23,18.46,,,,140.07
1928-03-21,206.78,18.65,,,,140.41
1928-03-22,206.67,18.6,,,,140.3
1928-03-23,208.56,18.78,,,,140.37
1928-03-26,210.36,19.05,,,,140.66
1928-03-27,210.38,18.94,,,,140.95
1928-03-28,210.03,18.89,,,,141.23
1928-03-29,210.76,18.95,,,,141.35
1928-03-30,214.45,19.28,,,,141.96
1928-04-02,209.33,18.91,,232.71,,140.43
1928-04-03,209.95,19.02,,,,142.19
1928-04-04,209.82,18.99,,,,141.81
1928-04-05,212.12,19.23,,,,142.91
1928-04-09,211.53,19.27,,,,142.98
1928-04-10,209.23,19.1,,,,142.14
1928-04-11,212.46,19.44,,,,143.56
1928-04-12,212.13,19.41,,,,142.37
1928-04-13,216.93,19.73,,,,142.74
1928-04-16,215.79,19.68,,,,141.91
1928-04-17,213.02,19.52,,,,141.25
1928-04-18,213.36,19.52,,,,141.26
1928-04-19,214.07,19.63,,,,142.09
1928-04-20,210.9,19.34,,,,140.53
1928-04-23,207.94,19.15,,,,140.08
1928-04-24,208.85,19.25,,,,140.77
1928-04-25,208.96,19.33,,,,143.61
1928-04-26,210.18,19.47,,,,144.8
1928-04-27,212.25,19.68,,,,145.16
1928-04-30,211.63,19.75,,,,144.55
1928-05-01,213.48,19.78,,244.45,,144.85
1928-05-02,213.88,19.83,,,,145.16
1928-05-03,214.62,19.93,,,,145.68
1928-05-04,217.66,20.24,,,,145.86
1928-05-07,219.51,20.41,,,,146.35
1928-05-08,220.09,20.27,,,,146.63
1928-05-09,218.71,20.24,,,,147.65
1928-05-10,218.43,20.21,,,,147.41
1928-05-11,220.74,20.36,,,,147.36
1928-05-14,220.88,20.44,,,,147.12
1928-05-15,219.52,20.39,,,,146.41
1928-05-16,216.65,20.05,,,,145.11
1928-05-17,218.76,20.12,,,,144.48
1928-05-18,217.64,19.92,,,,145.34
1928-05-21,214.33,19.63,,,,143.22
1928-05-22,211.73,19.36,,,,142.02
1928-05-23,215.45,19.75,,,,143.7
1928-05-24,217.53,19.87,,,,143.9
1928-05-25,217.74,19.9,,,,143.52
1928-05-28,214.05,19.57,,,,142.57
1928-05-29,217.28,19.82,,,,143.01
1928-05-31,219.81,20.0,,,,144.1
1928-06-01,220.27,20.07,,225.72,,144.2
1928-06-04,216.62,19.8,,,,142.78
1928-06-05,217.8,19.85,,,,142.4
1928-06-06,215.51,19.66,,,,141.51
1928-06-07,215.08,19.61,,,,140.93
1928-06-08,211.51,19.37,,,,139.26
1928-06-11,205.74,18.68,,,,135.86
1928-06-12,202.65,18.34,,,,134.78
1928-06-13,209.01,18.89,,,,137.63
1928-06-14,210.76,19.05,,,,138.16
1928-06-15,205.96,18.74,,,,136.33
1928-06-18,201.96,18.4,,,,134.15
1928-06-19,202.01,18.34,,,,133.51
1928-06-20,204.49,18.57,,,,134.88
1928-06-21,204.15,18.56,,,,136.16
1928-06-22,204.25,18.54,,,,136.43
1928-06-25,203.95,18.47,,,,135.99
1928-06-26,206.08,18.68,,,,136.47
1928-06-27,208.42,18.86,,,,137.24
1928-06-28,209.63,19.07,,,,137.55
1928-06-29,210.37,19.14,,,,138.2
1928-07-02,208.21,18.98,,226.76,,136.8
1928-07-03,211.9,19.29,,,,138.45
1928-07-05,214.43,19.48,,,,139.48
1928-07-06,212.49,19.39,,,,139.31
1928-07-09,213.86,19.46,,,,139.66
1928-07-10,212.71,19.43,,,,138.65
1928-07-11,206.43,18.95,,,,136.77
1928-07-12,206.71,18.81,,,,136.13
1928-07-13,207.83,18.96,,,,136.56
1928-07-16,205.1,18.7,,,,135.31
1928-07-17,206.42,18.8,,,,135.39
1928-07-18,209.3,19.03,,,,135.86
1928-07-19,208.73,18.99,,,,136.13
1928-07-20,209.95,19.03,,,,135.9
1928-07-23,210.84,19.12,,,,136.65
1928-07-24,212.0,19.09,,,,137.25
1928-07-25,213.04,19.2,,,,137.5
1928-07-26,212.65,19.24,,,,137.58
1928-07-27,215.66,19.42,,,,137.84
1928-07-30,216.62,19.47,,,,138.53
1928-07-31,216.0,19.43,,,,138.53
1928-08-01,216.78,19.42,,220.82,,138.3
1928-08-02,214.9,19.33,,,,137.55
1928-08-03,216.15,19.36,,,,137.24
1928-08-06,218.04,19.58,,,,137.71
1928-08-07,218.06,19.49,,,,138.08
1928-08-08,215.19,19.25,,,,137.58
1928-08-09,215.1,19.3,,,,136.98
1928-08-10,214.91,19.25,,,,136.9
1928-08-13,215.53,19.29,,,,136.76
1928-08-14,214.08,19.13,,,,136.34
1928-08-15,219.4,19.47,,,,136.73
1928-08-16,221.34,19.61,,,,138.18
1928-08-17,222.41,19.64,,,,138.4
1928-08-20,225.77,19.77,,,,139.85
1928-08-21,228.79,20.02,,,,141.38
1928-08-22,229.71,20.0,,,,141.01
1928-08-23,229.24,20.02,,,,141.21
1928-08-24,233.68,20.34,,,,141.7
1928-08-27,234.83,20.38,,,,141.63
1928-08-28,236.55,20.54,,,,142.21
1928-08-29,238.28,20.58,,,,142.7
1928-08-30,238.85,20.61,,,,142.73
1928-08-31,240.41,20.87,,,,143.15
1928-09-03,,,,237.31,,
1928-09-04,240.25,20.97,,,,144.34
1928-09-05,240.02,21.07,,,,143.75
1928-09-06,239.06,20.94,,,,143.01
1928-09-07,241.72,21.09,,,,143.08
1928-09-10,238.82,20.92,,,,142.41
1928-09-11,241.05,21.08,,,,142.52
1928-09-12,241.48,21.16,,,,142.6
1928-09-13,240.2,21.14,,,,142.56
1928-09-14,239.62,21.14,,,,142.81
1928-09-17,241.25,21.33,,,,144.15
1928-09-18,240.11,21.18,,,,143.03
1928-09-19,239.61,21.18,,,,143.19
1928-09-20,239.08,21.22,,,,142.51
1928-09-21,239.37,21.36,,,,142.26
1928-09-24,240.13,21.43,,,,142.4
1928-09-25,240.41,21.41,,,,142.05
1928-09-26,239.4,21.4,,,,141.88
1928-09-27,236.86,21.13,,,,141.97
1928-09-28,237.38,21.14,,,,141.53
1928-10-01,240.01,21.36,,250.24,,142.02
1928-10-02,238.14,21.26,,,,141.12
1928-10-03,237.75,21.19,,,,140.75
1928-10-04,240.0,21.26,,,,140.47
1928-10-05,240.44,21.22,,,,139.7
1928-10-08,239.55,21.11,,,,139.52
1928-10-09,241.73,21.18,,,,138.86
1928-10-10,246.53,21.41,,,,140.15
1928-10-11,247.69,21.51,,,,139.97
1928-10-15,249.85,21.65,,,,141.16
1928-10-16,249.43,21.72,,,,141.48
1928-10-17,250.87,21.79,,,,142.38
1928-10-18,251.88,21.84,,,,142.61
1928-10-19,256.59,21.96,,,,142.45
1928-10-22,253.6,21.81,,,,141.87
1928-10-23,256.04,21.95,,,,141.76
1928-10-24,257.03,21.99,,,,142.72
1928-10-25,256.48,21.91,,,,142.8
1928-10-26,251.44,21.65,,,,141.35
1928-10-29,257.13,22.0,,,,142.94
1928-10-30,253.7,21.76,,,,142.09
1928-10-31,252.16,21.68,,,,141.66
1928-11-01,255.23,21.99,,273.72,,142.74
1928-11-02,254.38,21.95,,,,142.22
1928-11-05,257.58,22.24,,,,142.99
1928-11-06,,22.5,,,,
1928-11-07,260.68,,,,,143.65
1928-11-08,261.11,22.39,,,,143.94
1928-11-09,263.05,22.55,,,,146.08
1928-11-12,269.67,22.84,,,,148.8
1928-11-13,269.89,22.91,,,,148.19
1928-11-14,268.6,22.91,,,,147.94
1928-11-15,269.42,23.03,,,,148.1
1928-11-16,276.66,23.37,,,,149.3
1928-11-19,278.78,23.37,,,,149.43
1928-11-20,283.9,23.57,,,,150.75
1928-11-21,280.53,23.22,,,,149.03
1928-11-22,290.34,23.52,,,,150.03
1928-11-23,288.22,23.7,,,,150.46
1928-11-26,291.16,23.8,,,,152.35
1928-11-27,292.39,23.91,,,,152.7
1928-11-28,295.62,24.19,,,,152.29
1928-11-30,293.38,24.28,,,,151.78
1928-12-03,289.23,23.85,,272.83,,151.08
1928-12-04,291.3,23.91,,,,150.49
1928-12-05,290.68,23.81,,,,149.07
1928-12-06,279.79,22.91,,,,145.78
1928-12-07,271.05,22.36,,,,144.56
1928-12-10,263.95,22.31,,,,144.33
1928-12-11,269.34,22.74,,,,145.66
1928-12-12,266.82,22.52,,,,145.26
1928-12-13,266.88,22.48,,,,144.66
1928-12-14,272.26,22.53,,,,145.74
1928-12-17,270.23,22.44,,,,145.38
1928-12-18,275.42,22.7,,,,146.21
1928-12-19,280.5,22.98,,,,147.33
1928-12-20,282.01,23.07,,,,146.95
1928-12-21,286.53,23.33,,,,148.18
1928-12-24,287.89,23.54,,,,148.64
1928-12-26,286.13,23.44,,,,148.7
1928-12-27,290.95,23.64,,,,148.66
1928-12-28,296.52,23.98,,,,149.51
1928-12-31,300.0,24.35,,,,151.14
1929-01-01,,,,308.2,,
1929-01-02,307.01,24.81,,,,152.75
1929-01-03,305.72,24.86,,,,152.63
1929-01-04,304.75,24.85,,,,154.1
1929-01-07,297.7,24.25,,,,151.79
1929-01-08,296.98,24.17,,,,151.78
1929-01-09,300.83,24.54,,,,152.3
1929-01-10,301.58,24.58,,,,152.82
1929-01-11,301.66,24.54,,,,153.09
1929-01-14,304.06,24.59,,,,153.37
1929-01-15,297.66,24.23,,,,152.05
1929-01-16,302.66,24.56,,,,152.45
1929-01-17,303.95,24.69,,,,152.95
1929-01-18,304.14,24.77,,,,153.61
1929-01-21,304.64,24.86,,,,154.41
1929-01-22,307.06,25.07,,,,154.6
1929-01-23,310.33,25.22,,,,154.86
1929-01-24,309.39,25.06,,,,154.0
1929-01-25,315.13,25.48,,,,154.1
1929-01-28,314.04,25.35,,,,154.83
1929-01-29,312.6,25.36,,,,154.55
1929-01-30,312.6,25.45,,,,155.26
1929-01-31,317.51,25.74,,,,158.54
1929-02-01,319.68,25.84,,311.17,,161.18
1929-02-04,319.05,25.64,,,,160.52
1929-02-05,322.06,25.7,,,,159.71
1929-02-06,317.18,25.49,,,,158.19
1929-02-07,305.75,24.71,,,,154.79
1929-02-08,301.53,24.44,,,,154.23
1929-02-11,310.35,24.98,,,,156.0
1929-02-13,308.07,24.95,,,,155.5
1929-02-14,306.49,24.85,,,,154.31
1929-02-15,300.41,24.35,,,,152.86
1929-02-18,300.74,24.39,,,,152.78
1929-02-19,301.1,24.38,,,,152.99
1929-02-20,305.99,24.59,,,,154.01
1929-02-21,310.06,24.86,,,,154.94
1929-02-25,311.24,24.91,,,,155.11
1929-02-26,311.25,24.95,,,,154.97
1929-02-27,314.53,25.25,,,,155.62
1929-02-28,317.41,25.59,,,,155.49
1929-03-01,321.18,25.83,,286.2,,158.62
1929-03-04,313.86,25.49,,,,157.2
1929-03-05,310.2,25.32,,,,157.03
1929-03-06,305.2,24.92,,,,155.22
1929-03-07,308.99,25.15,,,,155.8
1929-03-08,311.59,25.31,,,,155.37
1929-03-11,305.75,24.95,,,,153.85
1929-03-12,306.14,24.97,,,,153.46
1929-03-13,310.29,25.24,,,,153.55
1929-03-14,316.26,25.73,,,,154.18
1929-03-15,319.7,26.08,,,,154.08
1929-03-18,317.59,26.04,,,,153.31
1929-03-19,317.53,26.03,,,,154.0
1929-03-20,316.44,26.02,,,,153.18
1929-03-21,314.63,25.9,,,,152.64
1929-03-22,310.26,25.55,,,,151.34
1929-03-25,297.5,24.51,,,,148.43
1929-03-26,296.51,24.35,,,,147.41
1929-03-27,303.22,25.09,,,,149.75
1929-03-28,308.85,25.53,,,,150.9
1929-04-01,300.4,24.88,,285.01,,148.52
1929-04-02,303.49,25.17,,,,149.26
1929-04-03,300.35,24.86,,,,148.77
1929-04-04,305.37,25.3,,,,151.1
1929-04-05,303.04,25.05,,,,150.75
1929-04-08,301.49,24.83,,,,150.76
1929-04-09,299.13,24.63,,,,149.4
1929-04-10,300.67,24.78,,,,149.38
1929-04-11,304.09,25.06,,,,150.95
1929-04-12,305.43,25.15,,,,150.29
1929-04-15,302.43,25.0,,,,150.13
1929-04-16,304.19,25.06,,,,150.02
1929-04-17,309.91,25.32,,,,150.25
1929-04-18,311.87,25.43,,,,150.79
1929-04-19,310.58,25.41,,,,150.35
1929-04-22,315.33,25.7,,,,151.33
1929-04-23,316.62,25.85,,,,151.73
1929-04-24,315.66,25.75,,,,151.75
1929-04-25,314.28,25.63,,,,151.78
1929-04-26,314.15,25.58,,,,151.83
1929-04-29,313.84,25.53,,,,151.68
1929-04-30,319.29,25.94,,,,152.03
1929-05-01,320.13,25.99,,278.03,,152.33
1929-05-02,321.52,26.11,,,,152.0
1929-05-03,325.56,26.37,,,,152.12
1929-05-06,326.16,26.32,,,,152.6
1929-05-07,321.91,26.07,,,,152.13
1929-05-08,323.51,26.18,,,,151.65
1929-05-09,321.17,26.02,,,,150.85
1929-05-10,325.7,26.34,,,,151.8
1929-05-13,316.49,25.64,,,,150.63
1929-05-14,320.79,25.95,,,,149.53
1929-05-15,319.35,25.84,,,,149.34
1929-05-16,320.09,25.97,,,,149.08
1929-05-17,321.38,26.09,,,,149.26
1929-05-20,312.7,25.39,,,,151.49
1929-05-21,314.09,25.7,,,,153.06
1929-05-22,300.83,24.76,,,,149.26
1929-05-23,308.09,25.31,,,,149.98
1929-05-24,305.64,25.12,,,,149.96
1929-05-27,293.42,24.2,,,,147.18
1929-05-28,298.87,24.59,,,,149.82
1929-05-29,296.76,24.62,,,,152.08
1929-05-31,297.41,24.83,,,,153.95
1929-06-03,304.2,25.27,,275.8,,155.83
1929-06-04,310.57,25.64,,,,155.48
1929-06-05,307.68,25.59,,,,154.58
1929-06-06,307.72,25.64,,,,155.1
1929-06-07,307.46,25.53,,,,154.19
1929-06-10,303.27,25.27,,,,153.36
1929-06-11,306.64,25.43,,,,153.55
1929-06-12,306.68,25.45,,,,153.23
1929-06-13,313.05,25.84,,,,153.46
1929-06-14,313.68,25.93,,,,154.18
1929-06-17,319.33,26.41,,,,156.8
1929-06-18,319.67,26.42,,,,156.85
1929-06-19,316.41,26.32,,,,156.63
1929-06-20,317.73,26.47,,,,156.43
1929-06-21,320.68,26.62,,,,158.38
1929-06-24,321.15,26.62,,,,159.16
